product_id,name,description,price,stock,category_id
83,Raspberries - Fresh,Practical and versatile choice for everyday use,336.25,272,1
84,Wine - Jackson Triggs Okonagan,Practical and versatile choice for everyday use,705.61,66,1
85,Appetizer - Lobster Phyllo Roll,Practical and versatile choice for everyday use,720.73,355,2
86,"Chicken - Diced, Cooked",Luxurious item for special occasions,100.44,423,3
87,Pasta - Fusili Tri - Coloured,High-quality product with durable materials,793.71,39,2
88,Container - Clear 16 Oz,Practical and versatile choice for everyday use,348.52,458,4
89,Bread - 10 Grain Parisian,Luxurious item for special occasions,70.95,153,0
90,Thyme - Fresh,Affordable option with great value,308.17,130,0
91,Beans - Kidney White,Unique design that stands out,135.59,306,1
92,Chips Potato All Dressed - 43g,Luxurious item for special occasions,145.77,96,3
93,Wine - Chablis 2003 Champs,High-quality product with durable materials,637.67,251,2
94,Oil - Grapeseed Oil,High-quality product with durable materials,312.2,344,3
95,"Bread - Multigrain, Loaf",Luxurious item for special occasions,887.64,102,4
96,"Pasta - Gnocchi, Potato",Practical and versatile choice for everyday use,925.65,0,3
97,Turnip - White,High-quality product with durable materials,757.67,84,1
98,Goat - Leg,Practical and versatile choice for everyday use,666.71,299,4
99,Goldschalger,Luxurious item for special occasions,321.15,332,0
100,Wine - Marlbourough Sauv Blanc,Unique design that stands out,390.3,235,4
